country,continent,region
Ivory Coast,Africa,Africa
Italy,Europe,Europe
Kyrgyzstan,Asia,Asia
Papua New Guinea,Oceania,Oceania
Fiji,Oceania,Oceania
United Arab Emirates,Asia,Asia
Saint Kitts and Nevis,North America,Americas
French Guiana,South America,Americas
Tanzania,Africa,Africa
Angola,Africa,Africa
Togo,Africa,Africa
Finland,Europe,Europe
Malawi,Africa,Africa
Mali,Africa,Africa
Uzbekistan,Asia,Asia
Senegal,Africa,Africa
Uganda,Africa,Africa
Djibouti,Africa,Africa
South Sudan,Africa,Africa
Jersey,Europe,Europe
Tuvalu,Oceania,Oceania
Japan,Asia,Asia
Oman,Asia,Asia
Belgium,Europe,Europe
Saint Martin,North America,Americas
Mayotte,Africa,Africa
France,Europe,Europe
Bulgaria,Europe,Europe
Cyprus,Europe,Europe
South Korea,Asia,Asia
Mexico,North America,Americas
North Macedonia,Europe,Europe
Guyana,South America,Americas
Kosovo,Europe,Europe
Morocco,Africa,Africa
Gibraltar,Europe,Europe
Western Sahara,Africa,Africa
Andorra,Europe,Europe
Palau,Oceania,Oceania
Guinea,Africa,Africa
Turks and Caicos Islands,North America,Americas
Saudi Arabia,Asia,Asia
Botswana,Africa,Africa
Comoros,Africa,Africa
Belize,North America,Americas
Cambodia,Asia,Asia
Saint Lucia,North America,Americas
Mauritania,Africa,Africa
Jamaica,North America,Americas
Cape Verde,Africa,Africa
Marshall Islands,Oceania,Oceania
Namibia,Africa,Africa
Iran,Asia,Asia
Wallis and Futuna,Oceania,Oceania
Azerbaijan,Europe,Asia
Niger,Africa,Africa
Heard Island and McDonald Islands,Antarctica,Antarctic
Laos,Asia,Asia
Burkina Faso,Africa,Africa
Cocos (Keeling) Islands,Asia,Oceania
Luxembourg,Europe,Europe
Indonesia,Asia,Asia
Lebanon,Asia,Asia
Turkey,Europe,Asia
Timor-Leste,Oceania,Asia
Zimbabwe,Africa,Africa
South Africa,Africa,Africa
Armenia,Asia,Asia
Ireland,Europe,Europe
Norway,Europe,Europe
Kenya,Africa,Africa
North Korea,Asia,Asia
Afghanistan,Asia,Asia
Bermuda,North America,Americas
Spain,Europe,Europe
Netherlands,Europe,Europe
Nicaragua,North America,Americas
Lesotho,Africa,Africa
Egypt,Africa,Africa
Gambia,Africa,Africa
Brazil,South America,Americas
Australia,Oceania,Oceania
Bouvet Island,Antarctica,Antarctic
Pitcairn Islands,Oceania,Oceania
Barbados,North America,Americas
Madagascar,Africa,Africa
United Kingdom,Europe,Europe
Portugal,Europe,Europe
Greenland,North America,Americas
American Samoa,Oceania,Oceania
South Georgia,Antarctica,Antarctic
Turkmenistan,Asia,Asia
Guadeloupe,North America,Americas
Dominica,North America,Americas
Solomon Islands,Oceania,Oceania
Saint Pierre and Miquelon,North America,Americas
Rwanda,Africa,Africa
Norfolk Island,Oceania,Oceania
Panama,North America,Americas
Bahamas,North America,Americas
Tokelau,Oceania,Oceania
Montenegro,Europe,Europe
Åland Islands,Europe,Europe
Niue,Oceania,Oceania
Argentina,South America,Americas
Cuba,North America,Americas
Cayman Islands,North America,Americas
Kazakhstan,Asia,Asia
Russia,Europe,Europe
India,Asia,Asia
British Virgin Islands,North America,Americas
Guam,Oceania,Oceania
Myanmar,Asia,Asia
DR Congo,Africa,Africa
Mauritius,Africa,Africa
Falkland Islands,South America,Americas
Northern Mariana Islands,Oceania,Oceania
Ukraine,Europe,Europe
Monaco,Europe,Europe
Tajikistan,Asia,Asia
Malaysia,Asia,Asia
Somalia,Africa,Africa
Antigua and Barbuda,North America,Americas
Central African Republic,Africa,Africa
Macau,Asia,Asia
Israel,Asia,Asia
Nigeria,Africa,Africa
Honduras,North America,Americas
Sierra Leone,Africa,Africa
Tunisia,Africa,Africa
Lithuania,Europe,Europe
Iraq,Asia,Asia
Switzerland,Europe,Europe
Chile,South America,Americas
Taiwan,Asia,Asia
Vietnam,Asia,Asia
Bangladesh,Asia,Asia
Vanuatu,Oceania,Oceania
Pakistan,Asia,Asia
Latvia,Europe,Europe
Malta,Europe,Europe
Seychelles,Africa,Africa
Montserrat,North America,Americas
Anguilla,North America,Americas
Greece,Europe,Europe
Czechia,Europe,Europe
Zambia,Africa,Africa
Hong Kong,Asia,Asia
United States,North America,Americas
Eswatini,Africa,Africa
Slovenia,Europe,Europe
Caribbean Netherlands,North America,Americas
Maldives,Asia,Asia
Ghana,Africa,Africa
Paraguay,South America,Americas
Mozambique,Africa,Africa
Palestine,Asia,Asia
Moldova,Europe,Europe
Liberia,Africa,Africa
Liechtenstein,Europe,Europe
Peru,South America,Americas
Qatar,Asia,Asia
Christmas Island,Asia,Oceania
Georgia,Asia,Asia
Ecuador,South America,Americas
Philippines,Asia,Asia
Ethiopia,Africa,Africa
United States Virgin Islands,North America,Americas
Syria,Asia,Asia
Romania,Europe,Europe
Guatemala,North America,Americas
Nepal,Asia,Asia
Réunion,Africa,Africa
Benin,Africa,Africa
Kuwait,Asia,Asia
Suriname,South America,Americas
New Caledonia,Oceania,Oceania
Sudan,Africa,Africa
United States Minor Outlying Islands,Oceania,Americas
Chad,Africa,Africa
Uruguay,South America,Americas
Bosnia and Herzegovina,Europe,Europe
Trinidad and Tobago,North America,Americas
Sweden,Europe,Europe
Iceland,Europe,Europe
Haiti,North America,Americas
Brunei,Asia,Asia
French Southern and Antarctic Lands,Antarctica,Antarctic
Guernsey,Europe,Europe
Croatia,Europe,Europe
Saint Barthélemy,North America,Americas
Mongolia,Asia,Asia
Aruba,North America,Americas
Republic of the Congo,Africa,Africa
São Tomé and Príncipe,Africa,Africa
Yemen,Asia,Asia
Equatorial Guinea,Africa,Africa
Svalbard and Jan Mayen,Europe,Europe
Colombia,South America,Americas
Guinea-Bissau,Africa,Africa
Kiribati,Oceania,Oceania
Germany,Europe,Europe
Thailand,Asia,Asia
Isle of Man,Europe,Europe
Bhutan,Asia,Asia
Gabon,Africa,Africa
Sint Maarten,North America,Americas
Sri Lanka,Asia,Asia
Albania,Europe,Europe
New Zealand,Oceania,Oceania
Algeria,Africa,Africa
San Marino,Europe,Europe
Micronesia,Oceania,Oceania
"Saint Helena, Ascension and Tristan da Cunha",Africa,Africa
Curaçao,North America,Americas
El Salvador,North America,Americas
Martinique,North America,Americas
Nauru,Oceania,Oceania
Vatican City,Europe,Europe
Grenada,North America,Americas
Tonga,Oceania,Oceania
Burundi,Africa,Africa
Samoa,Oceania,Oceania
Denmark,Europe,Europe
Venezuela,South America,Americas
Austria,Europe,Europe
Slovakia,Europe,Europe
China,Asia,Asia
British Indian Ocean Territory,Asia,Africa
French Polynesia,Oceania,Oceania
Bolivia,South America,Americas
Antarctica,Antarctica,Antarctic
Libya,Africa,Africa
Estonia,Europe,Europe
Cook Islands,Oceania,Oceania
Puerto Rico,North America,Americas
Belarus,Europe,Europe
Faroe Islands,Europe,Europe
Saint Vincent and the Grenadines,North America,Americas
Dominican Republic,North America,Americas
Hungary,Europe,Europe
Bahrain,Asia,Asia
Cameroon,Africa,Africa
Canada,North America,Americas
Eritrea,Africa,Africa
Singapore,Asia,Asia
Costa Rica,North America,Americas
Serbia,Europe,Europe
Poland,Europe,Europe
Jordan,Asia,Asia
